state,window_date,window_days,winning_size,frequency,population_variance
ANDAMAN & NICOBAR,2022-06-17,10,XS,9,54602.00000000006
ANDAMAN & NICOBAR,2022-06-18,10,XS,9,54602.00000000006
ANDAMAN & NICOBAR,2022-06-19,10,XS,9,54602.00000000006
ANDAMAN & NICOBAR,2022-06-20,10,XS,8,59886.6875
ANDAMAN & NICOBAR,2022-06-21,10,XS,8,59886.6875
ANDAMAN & NICOBAR,2022-06-22,10,M,9,19745.99999999994
ANDAMAN & NICOBAR,2022-06-23,10,M,11,19266.809917355422
ANDAMAN & NICOBAR,2022-06-24,10,M,12,21311.833333333314
ANDAMAN & NICOBAR,2022-06-25,10,M,11,22257.5371900826
ANDAMAN & NICOBAR,2022-06-26,10,M,11,28999.603305785102
ANDAMAN & NICOBAR,2022-06-27,10,M,13,32321.786982248537
ANDAMAN & NICOBAR,2022-06-28,10,M,12,30821.25
ANDAMAN & NICOBAR,2022-06-29,10,M,12,33482.805555555504
ANDAMAN & NICOBAR,2022-06-30,10,M,12,33482.805555555504
ANDAMAN & NICOBAR,2022-07-01,10,M,10,30583.0
ANDAMAN & NICOBAR,2022-07-02,10,M,8,33825.6875
ANDAMAN & NICOBAR,2022-07-03,10,M,6,18833.472222222248
ANDAMAN & NICOBAR,2022-07-04,10,M,4,5843.1875
ANDAMAN & NICOBAR,2022-07-05,10,M,4,5843.1875
ANDAMAN & NICOBAR,2022-07-06,10,M,3,7410.666666666657
ANDAMAN & NICOBAR,2022-07-07,10,M,1,0.0
ANDAMAN & NICOBAR,2022-07-08,10,M,1,0.0
ANDHRA PRADESH,2022-04-01,10,3XL,1,0.0
ANDHRA PRADESH,2022-04-02,10,M,12,119697.0
ANDHRA PRADESH,2022-04-03,10,M,18,105505.05246913579
ANDHRA PRADESH,2022-04-04,10,M,28,118486.26530612237
ANDHRA PRADESH,2022-04-05,10,M,35,100668.86204081622
ANDHRA PRADESH,2022-04-06,10,M,42,120955.40419501136
ANDHRA PRADESH,2022-04-07,10,XXL,52,78767.07248520711
ANDHRA PRADESH,2022-04-08,10,XXL,63,84819.808515999
ANDHRA PRADESH,2022-04-09,10,L,71,43751.00337234681
ANDHRA PRADESH,2022-04-10,10,L,83,55980.24415735237
ANDHRA PRADESH,2022-04-11,10,L,95,59581.42936288088
ANDHRA PRADESH,2022-04-12,10,L,98,64972.0566430653
ANDHRA PRADESH,2022-04-13,10,L,98,64787.92263640155
ANDHRA PRADESH,2022-04-14,10,L,97,81668.45382080978
ANDHRA PRADESH,2022-04-15,10,L,97,83839.47539589752
ANDHRA PRADESH,2022-04-16,10,L,102,83439.25999615528
ANDHRA PRADESH,2022-04-17,10,L,95,87648.59102493076
ANDHRA PRADESH,2022-04-18,10,L,95,90331.6946260389
ANDHRA PRADESH,2022-04-19,10,L,95,90885.12975069246
ANDHRA PRADESH,2022-04-20,10,L,93,79426.093883686
ANDHRA PRADESH,2022-04-21,10,L,98,71416.06466055807
ANDHRA PRADESH,2022-04-22,10,L,103,58852.086718823586
ANDHRA PRADESH,2022-04-23,10,XL,107,63014.62380993966
ANDHRA PRADESH,2022-04-24,10,L,112,54357.703364158166
ANDHRA PRADESH,2022-04-25,10,L,115,56409.026843100146
ANDHRA PRADESH,2022-04-26,10,L,110,57313.662892562046
ANDHRA PRADESH,2022-04-27,10,L,113,57719.381940637424
ANDHRA PRADESH,2022-04-28,10,L,117,57735.21776608954
ANDHRA PRADESH,2022-04-29,10,L,111,56366.14722830936
ANDHRA PRADESH,2022-04-30,10,L,113,56140.28757146222
ANDHRA PRADESH,2022-05-01,10,M,104,68975.58866494079
ANDHRA PRADESH,2022-05-02,10,M,107,63898.42047340382
ANDHRA PRADESH,2022-05-03,10,M,112,77515.03954081639
ANDHRA PRADESH,2022-05-04,10,M,109,86120.98392391216
ANDHRA PRADESH,2022-05-05,10,M,99,85444.66625854501
ANDHRA PRADESH,2022-05-06,10,L,102,40662.50365244137
ANDHRA PRADESH,2022-05-07,10,L,106,51455.44677821291
ANDHRA PRADESH,2022-05-08,10,XL,103,58865.905174851534
ANDHRA PRADESH,2022-05-09,10,L,111,81558.35711387062
ANDHRA PRADESH,2022-05-10,10,L,104,86482.34532174555
ANDHRA PRADESH,2022-05-11,10,L,104,86398.40976331366
ANDHRA PRADESH,2022-05-12,10,L,97,88852.82452970557
ANDHRA PRADESH,2022-05-13,10,L,90,94687.80802469136
ANDHRA PRADESH,2022-05-14,10,L,89,113012.51483398565
ANDHRA PRADESH,2022-05-15,10,L,82,134805.64500297437
ANDHRA PRADESH,2022-05-16,10,L,81,134608.7846364883
ANDHRA PRADESH,2022-05-17,10,L,78,128727.02843524003
ANDHRA PRADESH,2022-05-18,10,L,78,133017.88691650232
ANDHRA PRADESH,2022-05-19,10,L,73,110080.0480390318
ANDHRA PRADESH,2022-05-20,10,L,78,105132.2241946088
ANDHRA PRADESH,2022-05-21,10,L,75,104991.68462222221
ANDHRA PRADESH,2022-05-22,10,L,79,106130.98573946493
ANDHRA PRADESH,2022-05-23,10,L,73,109033.4708200412
ANDHRA PRADESH,2022-05-24,10,L,69,89488.85864314222
ANDHRA PRADESH,2022-05-25,10,L,67,82933.37758966367
ANDHRA PRADESH,2022-05-26,10,M,66,73051.66574839299
ANDHRA PRADESH,2022-05-27,10,M,68,71982.75173010386
ANDHRA PRADESH,2022-05-28,10,M,72,79380.3047839505
ANDHRA PRADESH,2022-05-29,10,M,74,85424.24543462374
ANDHRA PRADESH,2022-05-30,10,M,68,85588.96777681657
ANDHRA PRADESH,2022-05-31,10,M,78,89358.2504930966
ANDHRA PRADESH,2022-06-01,10,M,86,81118.70267712272
ANDHRA PRADESH,2022-06-02,10,M,91,85417.67202028743
ANDHRA PRADESH,2022-06-03,10,M,89,78405.15061229636
ANDHRA PRADESH,2022-06-04,10,M,89,81787.47405630606
ANDHRA PRADESH,2022-06-05,10,L,84,83085.33829365083
ANDHRA PRADESH,2022-06-06,10,L,89,96614.75293523556
ANDHRA PRADESH,2022-06-07,10,L,98,91329.7043940025
ANDHRA PRADESH,2022-06-08,10,L,108,89898.06550068589
ANDHRA PRADESH,2022-06-09,10,L,112,85012.5634566326
ANDHRA PRADESH,2022-06-10,10,L,110,78039.42685950414
ANDHRA PRADESH,2022-06-11,10,L,104,80313.69822485204
ANDHRA PRADESH,2022-06-12,10,L,109,87255.43354936456
ANDHRA PRADESH,2022-06-13,10,L,113,80736.99898190936
ANDHRA PRADESH,2022-06-14,10,L,113,79651.54812436376
ANDHRA PRADESH,2022-06-15,10,L,112,74641.8545918368
ANDHRA PRADESH,2022-06-16,10,L,104,72290.52135724848
ANDHRA PRADESH,2022-06-17,10,M,101,66504.45034800505
ANDHRA PRADESH,2022-06-18,10,M,99,65010.747678808344
ANDHRA PRADESH,2022-06-19,10,M,97,70691.37634180038
ANDHRA PRADESH,2022-06-20,10,L,98,91594.81226572255
ANDHRA PRADESH,2022-06-21,10,M,106,66743.33570665726
